Node0 Layer,Node0 X location,Node0 Y location,Node1 Layer,Node1 X location,Node1 Y location,Current
Metal1,20.8700,960.4000,Metal1,21.5300,960.4000,2.059e-11
Metal1,20.8700,968.2400,Metal1,22.6500,968.2400,3.709e-12
Metal1,20.8700,976.0800,Metal1,23.0450,976.0800,2.886e-13
Metal1,21.5250,380.2400,Metal1,21.7550,380.2400,1.281e-13
Metal1,21.5250,693.8400,Metal1,21.7550,693.8400,4.181e-12
Metal1,21.5250,717.3600,Metal1,21.7550,717.3600,3.117e-12
Metal1,21.5250,889.8400,Metal1,21.7550,889.8400,4.181e-12
Metal1,21.5300,129.3600,Metal1,21.7600,129.3600,2.465e-12
Metal1,21.5300,301.8400,Metal1,21.7600,301.8400,1.501e-11
Metal1,21.5300,325.3600,Metal1,21.7600,325.3600,7.251e-13
Metal1,21.5300,427.2800,Metal1,21.7600,427.2800,1.450e-12
Metal1,21.5300,450.8000,Metal1,21.5600,451.3450,2.058e-11
Metal1,21.5300,458.6400,Metal1,21.7600,458.6400,1.523e-12
Metal1,21.5300,897.6800,Metal1,21.7600,897.6800,2.030e-12
Metal1,21.5300,921.2000,Metal1,21.7600,921.2000,7.251e-13
Metal1,21.5300,952.5600,Metal1,21.7600,952.5600,7.251e-14
Metal1,21.5300,960.4000,Metal1,21.7600,960.4000,9.282e-12
Metal1,21.5600,419.4400,Metal1,21.7900,419.4400,3.626e-13
Metal1,21.5600,451.3450,Metal1,21.7600,450.2550,5.432e-15
Metal1,21.5750,552.7200,Metal1,21.8050,552.7200,5.578e-14
Metal1,21.6600,372.4000,Metal1,21.8900,372.4000,2.393e-12
Metal1,21.7550,380.2400,Metal1,23.8850,380.2400,2.530e-13
Metal1,21.7550,693.8400,Metal1,23.6850,693.8400,5.851e-11
Metal1,21.7550,717.3600,Metal1,23.0450,717.3600,1.836e-14
Metal1,21.7550,889.8400,Metal1,23.0450,889.8400,4.498e-13
Metal1,21.7600,129.3600,Metal1,23.1500,129.3600,2.786e-12
Metal1,21.7600,301.8400,Metal1,23.3350,301.8400,2.340e-10
Metal1,21.7600,325.3600,Metal1,23.5700,325.3600,2.094e-13
Metal1,21.7600,427.2800,Metal1,23.5700,427.2800,2.617e-14
Metal1,21.7600,450.2550,Metal1,21.7900,450.8000,4.346e-15
Metal1,21.7600,458.6400,Metal1,22.1200,458.6400,1.595e-12
Metal1,21.7600,897.6800,Metal1,22.7650,897.6800,7.376e-12
Metal1,21.7600,921.2000,Metal1,23.5700,921.2000,2.094e-13
Metal1,21.7600,952.5600,Metal1,23.5700,952.5600,2.813e-13
Metal1,21.7600,960.4000,Metal1,22.6450,960.4000,9.768e-13
Metal1,21.7800,929.0400,Metal1,22.1200,929.0400,2.810e-13
Metal1,21.7900,419.4400,Metal1,23.2050,419.4400,2.745e-12
Metal1,21.7900,450.8000,Metal1,23.5700,450.8000,1.663e-14
Metal1,21.8050,552.7200,Metal1,24.8850,552.7200,1.980e-13
Metal1,21.8900,372.4000,Metal1,22.0900,372.4000,2.368e-12
Metal1,21.9250,591.9200,Metal1,22.1550,591.9200,1.171e-12
Metal1,22.0050,442.9600,Metal1,22.2350,442.9600,8.337e-12
Metal1,22.0850,168.5600,Metal1,22.3150,168.5600,5.749e-12
Metal1,22.0850,262.6400,Metal1,22.3150,262.6400,2.946e-12
Metal1,22.0850,317.5200,Metal1,22.3150,317.5200,5.749e-12
Metal1,22.0850,435.1200,Metal1,22.3150,435.1200,4.653e-12
Metal1,22.0850,497.8400,Metal1,22.3150,497.8400,1.366e-11
Metal1,22.0900,43.1200,Metal1,22.3200,43.1200,2.755e-12
Metal1,22.0900,50.9600,Metal1,22.3200,50.9600,2.175e-13
Metal1,22.0900,90.1600,Metal1,22.3200,90.1600,1.450e-13
Metal1,22.0900,286.1600,Metal1,22.3200,286.1600,2.901e-13
Metal1,22.0900,372.4000,Metal1,22.3200,372.4000,2.610e-12
Metal1,22.0900,466.4800,Metal1,22.3200,466.4800,2.755e-12
Metal1,22.0900,709.5200,Metal1,22.3200,709.5200,3.626e-13
Metal1,22.1200,458.6400,Metal1,22.3500,458.6400,2.828e-12
Metal1,22.1200,929.0400,Metal1,23.4850,929.0400,2.603e-13
Metal1,22.1550,591.9200,Metal1,25.2350,591.9200,1.538e-13
Metal1,22.2200,505.6800,Metal1,22.4500,505.6800,3.046e-12
Metal1,22.2350,442.9600,Metal1,23.2050,442.9600,1.795e-12
Metal1,22.3050,490.0000,Metal1,22.5350,490.0000,1.009e-11
Metal1,22.3150,168.5600,Metal1,23.0450,168.5600,9.490e-13
Metal1,22.3150,262.6400,Metal1,23.0450,262.6400,3.244e-14
Metal1,22.3150,317.5200,Metal1,23.0450,317.5200,4.687e-11
Metal1,22.3150,435.1200,Metal1,23.0450,435.1200,8.111e-15
Metal1,22.3150,497.8400,Metal1,22.5900,497.8400,1.378e-11
Metal1,22.3200,43.1200,Metal1,23.6100,43.1200,7.840e-12
Metal1,22.3200,50.9600,Metal1,23.0450,50.9600,8.984e-14
Metal1,22.3200,90.1600,Metal1,23.0450,90.1600,8.984e-14
Metal1,22.3200,286.1600,Metal1,23.0450,286.1600,7.350e-14
Metal1,22.3200,372.4000,Metal1,23.6450,372.4000,1.832e-13
Metal1,22.3200,466.4800,Metal1,23.6500,466.4800,8.828e-12
Metal1,22.3200,709.5200,Metal1,23.0450,709.5200,8.167e-14
Metal1,22.3500,458.6400,Metal1,23.5700,458.6400,2.136e-13
Metal1,22.4500,505.6800,Metal1,23.3350,505.6800,3.084e-12
Metal1,22.5350,490.0000,Metal1,23.6850,490.0000,5.818e-13
Metal1,22.5650,874.1600,Metal1,22.7950,874.1600,6.893e-12
Metal1,22.5900,152.8800,Metal1,22.9300,152.8800,2.525e-11
Metal1,22.5900,160.7200,Metal1,22.9300,160.7200,7.866e-14
Metal1,22.5900,176.4000,Metal1,22.9300,176.4000,2.796e-11
Metal1,22.5900,482.1600,Metal1,22.9300,482.1600,1.062e-12
Metal1,22.5900,497.8400,Metal1,22.9300,497.8400,3.009e-11
Metal1,22.5900,513.5200,Metal1,22.6500,513.8975,3.128e-11
Metal1,22.5900,537.0400,Metal1,22.9300,537.0400,7.866e-14
Metal1,22.5900,599.7600,Metal1,22.9300,599.7600,2.210e-11
Metal1,22.5900,607.6000,Metal1,22.9300,607.6000,1.573e-13
Metal1,22.5900,623.2800,Metal1,22.6450,623.6575,3.128e-11
Metal1,22.5900,638.9600,Metal1,22.9300,638.9600,1.966e-13
Metal1,22.5900,646.8000,Metal1,22.9300,646.8000,1.082e-11
Metal1,22.5900,662.4800,Metal1,22.9300,662.4800,9.439e-13
Metal1,22.5900,740.8800,Metal1,22.9300,740.8800,1.384e-11
Metal1,22.5900,764.4000,Metal1,22.9300,764.4000,2.855e-11
Metal1,22.5900,787.9200,Metal1,22.9300,787.9200,1.133e-11
Metal1,22.5900,803.6000,Metal1,22.9300,803.6000,2.627e-11
Metal1,22.5900,811.4400,Metal1,22.9300,811.4400,1.168e-11
Metal1,22.5900,819.2800,Metal1,22.9300,819.2800,9.832e-13
Metal1,22.5900,827.1200,Metal1,22.9300,827.1200,4.070e-09
Metal1,22.5900,834.9600,Metal1,22.9300,834.9600,2.136e-11
Metal1,22.5900,850.6400,Metal1,22.9300,850.6400,2.796e-11
Metal1,22.5900,858.4800,Metal1,22.9300,858.4800,2.796e-11
Metal1,22.6200,199.9200,Metal1,22.8500,199.9200,2.175e-13
Metal1,22.6450,35.2800,Metal1,22.8750,35.2800,7.984e-12
Metal1,22.6450,623.6575,Metal1,22.8750,623.6575,0.000e+00
Metal1,22.6450,882.0000,Metal1,22.8750,882.0000,7.018e-12
Metal1,22.6450,960.4000,Metal1,22.8750,960.4000,1.045e-12
Metal1,22.6500,58.8000,Metal1,22.8800,58.8000,2.755e-12
Metal1,22.6500,82.3200,Metal1,22.8800,82.3200,9.789e-12
Metal1,22.6500,239.1200,Metal1,22.8800,239.1200,2.320e-12
Metal1,22.6500,356.7200,Metal1,22.8800,356.7200,9.282e-12
Metal1,22.6500,395.9200,Metal1,22.8800,395.9200,9.862e-12
Metal1,22.6500,411.6000,Metal1,22.7850,412.1450,1.264e-12
Metal1,22.6500,513.8975,Metal1,22.8800,513.8975,1.049e-13
Metal1,22.6500,584.0800,Metal1,22.8800,584.0800,1.001e-11
Metal1,22.6500,615.4400,Metal1,22.8800,615.4400,9.789e-12
Metal1,22.6500,654.6400,Metal1,22.8800,654.6400,9.862e-12
Metal1,22.6500,678.1600,Metal1,22.8800,678.1600,2.828e-12
Metal1,22.6500,913.3600,Metal1,22.8800,913.3600,3.771e-12
Metal1,22.6500,968.2400,Metal1,22.8800,968.2400,2.516e-11
Metal1,22.7500,560.5600,Metal1,22.9800,560.5600,8.919e-12
Metal1,22.7650,897.6800,Metal1,23.1050,897.6800,1.061e-11
Metal1,22.7850,412.1450,Metal1,22.8800,411.1500,1.266e-12
Metal1,22.7950,874.1600,Metal1,23.0450,874.1600,6.869e-12
Metal1,22.8500,199.9200,Metal1,23.0450,199.9200,2.126e-13
Metal1,22.8750,35.2800,Metal1,23.0450,35.2800,7.907e-12
Metal1,22.8750,623.6575,Metal1,22.9300,623.2800,2.444e-14
Metal1,22.8750,882.0000,Metal1,24.1700,882.0000,5.589e-11
Metal1,22.8750,960.4000,Metal1,23.5700,960.4000,8.179e-13
Metal1,22.8800,58.8000,Metal1,23.0450,58.8000,2.799e-12
Metal1,22.8800,82.3200,Metal1,23.0450,82.3200,9.797e-12
Metal1,22.8800,239.1200,Metal1,23.2400,239.1200,2.385e-12
Metal1,22.8800,356.7200,Metal1,23.0450,356.7200,9.402e-12
