Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_240_1087,VSS,Metal1,629.6200,964.6685,0.000002
FILLER_240_1084,VSS,Metal1,627.4800,964.3200,0.000002
FILLER_240_1082,VSS,Metal1,626.6400,964.3200,0.000002
FILLER_240_1061,VSS,Metal1,614.6000,964.3200,0.000003
FILLER_240_1059,VSS,Metal1,613.7600,964.3200,0.000003
FILLER_240_1041,VSS,Metal1,603.4000,964.3200,0.000003
FILLER_240_1039,VSS,Metal1,602.5600,964.3200,0.000003
FILLER_240_1035,VSS,Metal1,600.5000,964.6685,0.000003
FILLER_240_1021,VSS,Metal1,592.2000,964.3200,0.000003
FILLER_240_1017,VSS,Metal1,590.4200,964.6685,0.000003
FILLER_240_1014,VSS,Metal1,588.2800,964.3200,0.000003
FILLER_240_1010,VSS,Metal1,586.5000,964.6685,0.000003
FILLER_240_1002,VSS,Metal1,583.0130,964.7815,0.000003
FILLER_240_929,VSS,Metal1,541.1400,964.6685,0.000005
FILLER_240_894,VSS,Metal1,521.0800,964.3200,0.000005
FILLER_240_892,VSS,Metal1,520.2400,964.3200,0.000005
FILLER_240_879,VSS,Metal1,512.6800,964.3200,0.000005
FILLER_240_877,VSS,Metal1,511.8400,964.3200,0.000005
FILLER_240_824,VSS,Metal1,482.1600,964.3200,0.000006
FILLER_240_804,VSS,Metal1,470.6800,964.3200,0.000006
FILLER_240_739,VSS,Metal1,434.2800,964.3200,0.000008
FILLER_240_737,VSS,Metal1,433.4400,964.3200,0.000008
FILLER_240_731,VSS,Metal1,430.2600,964.6685,0.000007
FILLER_240_709,VSS,Metal1,417.9400,964.6685,0.000007
FILLER_240_689,VSS,Metal1,406.2800,964.3200,0.000009
FILLER_240_687,VSS,Metal1,405.4400,964.3200,0.000009
FILLER_240_679,VSS,Metal1,400.9600,964.3200,0.000009
FILLER_240_654,VSS,Metal1,386.6800,964.3200,0.000008
FILLER_240_594,VSS,Metal1,353.0800,964.3200,0.000007
FILLER_240_592,VSS,Metal1,352.2400,964.3200,0.000007
FILLER_240_568,VSS,Metal1,338.9800,964.6685,0.000007
FILLER_240_560,VSS,Metal1,335.4930,964.7815,0.000007
FILLER_240_543,VSS,Metal1,324.5200,964.3200,0.000011
FILLER_240_534,VSS,Metal1,319.4800,964.3200,0.000011
FILLER_240_532,VSS,Metal1,318.6400,964.3200,0.000012
FILLER_240_511,VSS,Metal1,306.6000,964.3200,0.000012
FILLER_240_509,VSS,Metal1,305.7600,964.3200,0.000012
FILLER_240_500,VSS,Metal1,300.4400,964.3200,0.000012
FILLER_240_481,VSS,Metal1,289.8000,964.3200,0.000010
FILLER_240_474,VSS,Metal1,286.1600,964.3200,0.000009
FILLER_240_470,VSS,Metal1,284.1000,964.6685,0.000009
FILLER_240_461,VSS,Metal1,278.6000,964.3200,0.000004
FILLER_240_457,VSS,Metal1,276.8200,964.6685,0.000004
FILLER_240_434,VSS,Metal1,263.4800,964.3200,0.000004
FILLER_240_430,VSS,Metal1,261.7000,964.6685,0.000004
FILLER_240_422,VSS,Metal1,258.2130,964.7815,0.000004
FILLER_240_397,VSS,Metal1,243.2200,964.6685,0.000004
FILLER_240_387,VSS,Metal1,237.4400,964.3200,0.000004
FILLER_240_325,VSS,Metal1,202.4400,964.3200,0.000004
FILLER_240_314,VSS,Metal1,196.2800,964.3200,0.000003
FILLER_240_312,VSS,Metal1,195.4400,964.3200,0.000003
FILLER_240_308,VSS,Metal1,193.3800,964.6685,0.000003
FILLER_240_275,VSS,Metal1,174.4400,964.3200,0.000004
FILLER_240_259,VSS,Metal1,165.7600,964.3200,0.000004
FILLER_240_247,VSS,Metal1,159.0400,964.3200,0.000005
FILLER_240_244,VSS,Metal1,157.0800,964.3200,0.000005
FILLER_240_242,VSS,Metal1,156.2400,964.3200,0.000005
FILLER_240_234,VSS,Metal1,152.9330,964.7815,0.000005
FILLER_240_213,VSS,Metal1,139.7200,964.3200,0.000005
