Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_270_380,VDD,Metal1,234.4600,1085.4075,4.986708
FILLER_270_359,VDD,Metal1,221.4800,1085.8400,4.986724
FILLER_270_317,VDD,Metal1,200.4265,1085.2630,4.986724
FILLER_270_311,VDD,Metal1,195.8200,1085.4075,4.986728
FILLER_270_247,VDD,Metal1,177.1150,1085.0255,4.986728
FILLER_270_243,VDD,Metal1,156.8000,1085.8400,4.986728
FILLER_270_201,VDD,Metal1,133.2800,1085.8400,4.986733
FILLER_270_193,VDD,Metal1,130.9865,1085.2630,4.986733
FILLER_270_177,VDD,Metal1,124.3680,1085.1480,4.986733
FILLER_270_171,VDD,Metal1,117.4200,1085.4075,4.986733
FILLER_270_107,VDD,Metal1,98.7150,1085.0255,4.986733
FILLER_270_101,VDD,Metal1,78.2200,1085.4075,4.986733
FILLER_270_37,VDD,Metal1,59.5150,1085.0255,4.986733
FILLER_270_34,VDD,Metal1,39.4800,1085.8400,4.986734
FILLER_270_2,VDD,Metal1,30.9155,1085.0710,4.986734
FILLER_269_1892,VDD,Metal1,1084.7680,1078.6920,4.986669
FILLER_269_1886,VDD,Metal1,1077.8200,1078.4325,4.986669
FILLER_269_1822,VDD,Metal1,1059.1150,1078.8140,4.986669
FILLER_269_1816,VDD,Metal1,1038.6200,1078.4325,4.986669
FILLER_269_1752,VDD,Metal1,1019.9150,1078.8140,4.986669
FILLER_269_1746,VDD,Metal1,999.4200,1078.4325,4.986669
FILLER_269_1682,VDD,Metal1,980.7150,1078.8140,4.986669
FILLER_269_1664,VDD,Metal1,957.0880,1078.6920,4.986669
FILLER_269_1629,VDD,Metal1,932.6800,1078.0000,4.986667
FILLER_269_1597,VDD,Metal1,914.7600,1078.0000,4.986660
FILLER_269_1595,VDD,Metal1,913.9200,1078.0000,4.986658
FILLER_269_1571,VDD,Metal1,900.2000,1078.0000,4.986657
FILLER_269_1563,VDD,Metal1,898.1865,1078.5765,4.986657
FILLER_269_1552,VDD,Metal1,889.5600,1078.0000,4.986654
FILLER_269_1550,VDD,Metal1,888.7200,1078.0000,4.986654
FILLER_269_1542,VDD,Metal1,886.4265,1078.5765,4.986654
FILLER_269_1532,VDD,Metal1,880.8265,1078.5765,4.986654
FILLER_269_1496,VDD,Metal1,858.4800,1078.0000,4.986654
FILLER_269_1488,VDD,Metal1,856.1865,1078.5765,4.986653
FILLER_269_1472,VDD,Metal1,849.5680,1078.6920,4.986652
FILLER_269_1466,VDD,Metal1,842.6200,1078.4325,4.986652
FILLER_269_1402,VDD,Metal1,823.9150,1078.8140,4.986652
FILLER_269_1396,VDD,Metal1,803.4200,1078.4325,4.986652
FILLER_269_1388,VDD,Metal1,800.1865,1078.5765,4.986652
FILLER_269_1345,VDD,Metal1,773.6400,1078.0000,4.986652
FILLER_269_1329,VDD,Metal1,764.6800,1078.0000,4.986653
FILLER_269_1327,VDD,Metal1,763.8400,1078.0000,4.986653
FILLER_269_1267,VDD,Metal1,730.2400,1078.0000,4.986654
FILLER_269_1259,VDD,Metal1,725.4800,1078.0000,4.986654
FILLER_269_1192,VDD,Metal1,689.1800,1078.4325,4.986655
FILLER_269_1179,VDD,Metal1,680.6800,1078.0000,4.986655
FILLER_269_1175,VDD,Metal1,679.6600,1078.4325,4.986655
FILLER_269_1167,VDD,Metal1,676.4265,1078.5765,4.986655
FILLER_269_1135,VDD,Metal1,665.3955,1078.7685,4.986655
FILLER_269_1106,VDD,Metal1,640.0800,1078.0000,4.986659
FILLER_269_1090,VDD,Metal1,632.0600,1078.4325,4.986660
FILLER_269_1065,VDD,Metal1,616.8400,1078.0000,4.986660
FILLER_269_1063,VDD,Metal1,616.0000,1078.0000,4.986660
FILLER_269_1052,VDD,Metal1,609.5600,1078.0000,4.986660
FILLER_269_1049,VDD,Metal1,607.8800,1078.0000,4.986660
FILLER_269_1033,VDD,Metal1,603.7280,1078.6920,4.986660
FILLER_269_1005,VDD,Metal1,584.4600,1078.4325,4.986660
FILLER_269_990,VDD,Metal1,575.1200,1078.0000,4.986660
FILLER_269_982,VDD,Metal1,572.8265,1078.5765,4.986660
FILLER_269_978,VDD,Metal1,568.4000,1078.0000,4.986660
FILLER_269_974,VDD,Metal1,567.1000,1078.4325,4.986660
FILLER_269_937,VDD,Metal1,545.1600,1078.0000,4.986660
FILLER_269_929,VDD,Metal1,543.1465,1078.5765,4.986660
FILLER_269_912,VDD,Metal1,531.1600,1078.0000,4.986660
FILLER_269_898,VDD,Metal1,524.5400,1078.4325,4.986660
FILLER_269_846,VDD,Metal1,494.2000,1078.0000,4.986660
FILLER_269_842,VDD,Metal1,493.1800,1078.4325,4.986660
FILLER_269_839,VDD,Metal1,490.2800,1078.0000,4.986660
FILLER_269_835,VDD,Metal1,489.2600,1078.4325,4.986660
FILLER_269_819,VDD,Metal1,483.8880,1078.6920,4.986660
FILLER_269_787,VDD,Metal1,470.5155,1078.7685,4.986660
